#READING
Language: Spanish
Description: Conjunto de oraciones y preguntas minimalista, en español. 
######
1: Los niños disfrutaron del paseo mucho más que yo.| 
2: Mucho ruido y pocas nueces.|
3: De lo que no se sabe es mejor callar.| ¿Qué es prudente hacer? , Callar, Observar, Mentir
4: Quien mal anda mal acaba.|
5: Chancho limpio nunca engorda.|
6: La guadaña es el símbolo de la muerte.|
7: Baco es el Dios del vino.|
8: Pedro es el único actor de la novela.| ¿Qué es Pedro? , Actor, Policía, Albañil
9: A la isla se puede llegar solamente por avión.|
10: Juan se dislocó el hombro por tercera vez.|
16:En la casa de Juan no hay animales.| 
21:Javier tiene amigos que son muy raros.| ¿Cómo son algunos amigos de Javier?, Raros, Iinteligentes, Interesados
27:Jorge consiguió una beca para estudiar 
30:Gustavo encontró una billetera tirada en el bar.| 
32:Luis miró todo el partido de fútbol.| 
36:A Mario le gusta ver cine los domingos.| 
42:La casa de Martín tiene un parque muy grande.|
45:Juan no anda bien con su pareja.| 
50:La película terminó de forma extraña.| ¿Cómo fue el final de la película?, Extraño, Feliz, Malo
56:Luis visitó el mes pasado a unos parientes de Europa.| 
59:Laura me recomendó consultar urgente al médico.| 
68:En Londres el clima es muy húmedo.| 
71:A Miguel le entregaron ayer el auto nuevo.| 
73:Elisa nunca supo cómo resolver el problema.|
76:Ayer charlamos con Laura sobre su hija.| 
84:La discusión de ayer era inevitable.| ¿Qué era inevitable?, Discusión, Arreglo, Ayuda
87:Daniel preparó café para sus amigos.|
93:No fueron claras las cuentas de la empresa.| 
96:Los amigos lo acompañaron en ese momento.|
104:La picadura de ciertas arañas puede ser mortal.|
107:Tanto insistió con eso que al final se lo dieron.|
110:El mago hizo trucos con cartas.| ¿Qué hizo el mago?, Trucos, Ilusiones, Magia
112:Los niños se asustaron cuando vieron a los leones.| 
118:A Luis no lo engañan con ese viejo truco.| 
121:Los hijos de Juan estudiaron durante las vacaciones.|
127:El hermano de Martín es un médico muy prestigioso.|
136:Este año iremos de vacaciones a la montaña.|
139:La madre de Mariela es una muy buena repostera.|
141:Durante la noche algunos felinos salen a cazar.|
148:El oro es un metal muy codiciado.|
151:Algunos días el cielo está todo estrellado.|
154:Juan tiene muy poca visión en ambos ojos.| 
157:El patrón le ordenó a la criada callarse.| ¿Qué le ordenó el patrón?, Callarse, Irse, Desnudarse
159:Él se encontró con María el otro día.|
162:En su casa siempre hacen comidas muy elaboradas.|
172:Los loros comieron la plantación de maiz.|
181:María nunca ha hecho llorar a sus padres.|
190:Cada lengua del mundo posee una gramática.|
196:El destino volvió a unir a los amigos.|
197:En el tribunal la votación fue reñida.|

#READING
1366 768
0001 779030218 298.679 399.036 298.679 399.036 1 1 1 1 9 3.59 3
0001 779030235 298.285 399.809 298.285 399.809 1 1 1 1 9 3.59 3
0001 779030251 296.046 399.288 296.046 399.288 1 1 1 1 9 3.6 3.01
0001 779030268 296.869 398.074 296.869 398.074 1 1 1 1 9 3.6 3.01
0001 779030301 297.369 396.916 297.369 396.916 1 1 1 1 9 3.61 3.01
0001 779030318 296.532 396.554 296.532 396.554 1 1 1 1 9 3.6 3.01
0001 779030334 295.338 397.518 295.338 397.518 1 1 1 1 9 3.61 3.01
0001 779030351 293.295 398.706 293.295 398.706 1 1 1 1 9 3.62 3.01
0001 779030368 293.984 397.559 293.984 397.559 1 1 1 1 9 3.63 3.01
0001 779030385 294.833 396.245 294.833 396.245 1 1 1 1 9 3.62 3.01
0001 779030401 293.73 397.277 293.73 397.277 1 1 1 1 9 3.63 3.02
0001 779030418 294.347 396.309 294.347 396.309 1 1 1 1 9 3.64 3.02
0001 779030435 294.902 395.051 294.902 395.051 1 1 1 1 9 3.64 3.03
0001 779030468 297.251 393.883 297.251 393.883 1 1 1 1 9 3.65 3.04
0001 779030534 368.635 394.13 368.635 394.13 2 5 2 5 9 3.65 3.05
0001 779030568 383.315 395.425 383.315 395.425 2 6 2 6 9 3.66 3.05
0001 779030585 386.694 393.971 386.694 393.971 2 6 2 6 9 3.67 3.05
0001 779030601 384.617 392.301 384.617 392.301 2 6 2 6 9 3.67 3.06
0001 779030618 385.833 392.327 385.833 392.327 2 6 2 6 9 3.67 3.06
0001 779030635 388.716 393.398 388.716 393.398 2 7 2 7 9 3.68 3.06
0001 779030651 389.503 394.708 389.503 394.708 2 7 2 7 9 3.68 3.06
0001 779030668 389.847 394.708 389.847 394.708 2 7 2 7 9 3.68 3.06
0001 779030685 389.572 396.222 389.572 396.222 2 7 2 7 9 3.68 3.06
0001 779030701 389.993 398.698 389.993 398.698 2 7 2 7 9 3.68 3.06
0001 779030718 510.618 397.916 510.618 397.916 3 14 3 14 9 3.68 3.05
0001 779030735 585.182 398.16 585.182 398.16 3 19 3 19 9 3.67 3.05
0001 779030751 580.638 399.457 580.638 399.457 3 19 3 19 9 3.67 3.06
0001 779030768 587.202 398.475 587.202 398.475 3 19 3 19 9 3.66 3.06
0001 779030785 587.79 397.94 587.79 397.94 3 19 3 19 9 3.66 3.06
0001 779030801 589.841 396.458 589.841 396.458 3 19 3 19 9 3.66 3.05
0001 779030818 590.792 399.937 590.792 399.937 3 19 3 19 9 3.65 3.06
0001 779030835 592.744 399.533 592.744 399.533 3 19 3 19 9 3.65 3.05
0001 779030851 593.391 401.303 593.391 401.303 3 19 3 19 9 3.65 3.05
0001 779030868 596.751 401.702 596.751 401.702 3 20 3 20 9 3.66 3.05
0001 779030885 596.138 400.742 596.138 400.742 3 20 3 20 9 3.65 3.05
0001 779030901 596.643 399.25 596.643 399.25 3 20 3 20 9 3.65 3.05
0001 779030918 598.625 400.516 598.625 400.516 3 20 3 20 9 3.65 3.05
0001 779030935 707.525 401.019 707.525 401.019 5 27 5 27 9 3.67 3.05
0001 779030951 751.746 401.781 751.746 401.781 5 29 5 29 9 3.66 3.05
0001 779030968 753.602 402.383 753.602 402.383 5 29 5 29 9 3.67 3.06
0001 779030985 751.95 403.081 751.95 403.081 5 29 5 29 9 3.67 3.07
