v2
000 0 3 5 2 4 1
001 2 4 3 0 5 1
002 5 2 4 3 1 0
003 0 5 3 1 4 2
004 1 2 3 4 5 0
005 1 2 5 3 4 0
006 4 1 5 3 0 2
007 2 1 5 0 4 3
008 1 4 5 3 2 0
009 1 0 5 2 3 4
010 2 4 3 5 1 0
011 2 4 0 1 3 5
012 3 4 2 1 0 5
013 4 0 5 1 3 2
014 2 0 3 1 4 5
015 0 2 1 4 3 5
016 3 2 0 4 1 5
017 1 4 5 3 2 0
018 1 3 4 0 2 5
019 1 0 5 3 2 4
020 3 0 2 4 5 1
021 2 3 0 4 1 5
022 5 1 2 4 3 0
023 0 1 5 4 2 3
024 5 3 1 0 2 4
025 3 0 1 4 5 2
026 3 1 2 4 0 5
027 3 5 2 1 4 0
028 0 3 5 4 1 2
029 5 0 3 1 4 2
030 1 0 2 4 3 5
031 5 1 0 4 3 2
032 0 3 1 5 4 2
033 1 0 2 4 3 5
034 3 0 1 5 2 4
035 2 3 0 1 5 4
036 1 5 2 4 3 0
037 2 0 5 1 4 3
038 0 4 1 3 5 2
039 0 2 1 5 4 3
040 4 3 1 5 2 0
041 1 0 3 5 2 4
042 5 2 3 1 0 4
043 1 5 0 4 2 3
044 2 0 3 4 1 5
045 3 5 4 2 0 1
046 4 3 1 2 0 5
047 0 1 2 4 5 3
048 0 1 3 2 4 5
049 2 5 4 0 1 3
050 1 3 0 4 5 2
051 0 2 3 1 4 5
052 2 0 5 4 1 3
053 3 5 2 4 0 1
054 0 4 5 1 3 2
055 2 5 0 1 3 4
056 3 0 5 4 1 2
057 2 5 3 4 0 1
058 5 3 4 2 1 0
059 5 3 4 1 2 0
060 5 2 3 4 0 1
061 5 1 0 2 3 4
062 0 1 4 2 3 5
063 4 3 2 5 0 1
064 2 4 3 0 5 1
065 0 2 4 5 1 3
066 2 4 0 5 3 1
067 1 3 2 0 5 4
068 3 0 5 4 1 2
069 1 3 4 2 0 5
070 3 4 0 2 5 1
071 1 4 2 3 5 0
072 4 0 2 1 3 5
073 0 4 3 1 2 5
074 4 2 0 3 1 5
075 1 0 3 5 4 2
076 1 3 2 5 4 0
077 0 5 3 2 1 4
078 1 0 4 3 5 2
079 4 2 0 3 1 5
080 3 1 2 0 4 5
081 0 2 1 4 5 3
082 3 1 0 5 4 2
083 2 1 5 3 0 4
084 4 1 3 5 2 0
085 0 3 5 1 4 2
086 3 4 5 2 0 1
087 1 0 5 2 3 4
088 5 4 1 2 3 0
089 2 4 3 1 0 5
090 1 4 0 3 5 2
091 1 2 3 4 0 5
092 3 4 5 2 1 0
093 5 4 2 3 1 0
094 1 4 3 2 5 0
095 2 4 3 1 0 5
096 3 1 4 2 0 5
