v2
000 0 3 5 1 4 2 3 3 5 2 5 3 2 5 1 4 4 5 1 4
001 2 4 3 5 0 1 4 4 3 4 0 4 5 1 5 2 4 3 5 4
002 5 2 4 1 0 3 5 0 1 4 2 5 2 0 1 1 0 1 0 1
003 0 5 3 1 2 4 4 0 1 5 5 3 3 5 4 4 3 1 0 3
004 1 2 3 0 5 4 0 1 2 2 4 5 3 2 3 5 0 5 2 2
005 1 2 5 0 3 4 4 5 0 1 5 5 0 3 5 5 1 3 5 0
006 4 1 5 3 0 2 3 5 0 2 5 4 4 5 5 1 4 4 5 5
007 2 1 5 3 4 0 2 2 2 1 3 2 1 3 0 0 3 3 5 2
008 1 4 5 3 2 0 4 0 2 1 1 0 4 1 3 4 2 1 2 2
009 1 0 5 3 2 4 1 3 3 0 3 0 1 5 1 2 2 5 0 1
010 2 4 3 5 1 0 2 5 0 2 5 1 5 2 3 5 3 3 0 2
011 2 4 0 5 3 1 2 0 2 3 3 5 5 3 4 4 2 0 3 4
012 3 4 2 1 5 0 2 2 1 5 5 5 1 1 0 2 3 4 3 0
013 4 0 5 1 2 3 0 1 2 4 4 4 2 5 4 0 1 4 1 4
014 2 0 3 5 4 1 1 3 2 2 5 0 0 4 1 0 2 2 3 3
015 0 2 1 5 3 4 1 4 2 1 2 5 1 0 5 2 2 2 2 4
016 3 2 0 5 4 1 4 4 0 3 5 3 0 0 2 3 5 3 5 4
017 1 4 5 3 2 0 4 2 3 4 1 3 4 4 1 5 0 5 2 4
018 1 3 4 0 5 2 4 5 1 4 4 4 5 5 5 2 4 1 0 0
019 1 0 5 4 3 2 4 2 4 3 5 5 5 0 1 3 3 0 0 0
020 3 0 2 4 5 1 1 4 2 2 2 2 1 5 2 5 0 1 5 1
021 2 3 0 1 4 5 5 2 5 2 0 4 3 3 3 4 3 5 3 4
022 5 1 2 4 0 3 5 5 3 2 5 2 3 0 3 2 5 4 0 2
023 0 1 5 2 3 4 2 2 5 2 5 1 1 0 0 0 1 3 2 3
024 5 3 1 0 2 4 5 4 0 3 3 4 2 3 0 4 3 1 1 0
025 3 0 1 4 2 5 5 2 5 1 2 2 0 4 3 2 1 4 4 2
026 3 1 2 5 4 0 4 0 2 1 4 0 1 5 4 5 0 1 5 5
027 3 5 2 4 0 1 4 4 2 3 5 5 2 2 3 4 4 3 4 2
028 0 3 5 1 4 2 5 2 0 2 5 4 4 5 5 3 2 4 4 0
029 5 0 3 4 2 1 3 4 0 3 1 2 0 1 2 5 5 1 1 4
030 1 0 2 3 4 5 1 0 0 5 4 2 5 4 3 5 0 2 4 3
031 5 1 0 4 3 2 5 2 2 0 5 4 4 0 0 1 4 3 0 5
032 0 3 1 5 2 4 5 5 3 2 0 5 4 4 4 3 5 1 2 0
033 1 0 2 3 5 4 1 5 0 5 5 4 1 4 1 3 0 5 1 2
034 3 0 1 4 2 5 4 1 1 5 3 4 3 5 3 4 2 1 5 2
035 2 3 0 1 5 4 2 5 2 4 1 5 4 2 2 0 1 1 4 3
036 1 5 2 3 4 0 4 3 3 1 5 3 1 0 3 0 2 5 4 0
037 2 0 5 4 1 3 3 1 3 2 1 2 0 2 4 3 3 0 3 0
038 0 4 1 2 5 3 3 4 1 4 5 5 4 2 2 1 4 2 0 5
039 0 2 1 3 5 4 2 5 1 5 2 1 2 4 2 4 0 4 0 0
040 4 3 1 5 0 2 2 4 4 0 1 5 5 3 4 3 5 1 2 4
041 1 0 3 2 4 5 2 5 3 4 2 3 1 0 3 1 1 4 3 1
042 5 2 3 0 1 4 0 2 4 2 5 4 1 3 2 3 5 0 3 4
043 1 5 0 4 2 3 3 3 0 0 4 0 5 5 5 5 0 3 1 2
044 2 0 3 1 5 4 4 5 3 5 3 3 3 3 0 5 2 5 2 0
045 3 5 4 0 2 1 3 5 1 4 2 4 4 1 1 4 0 3 1 5
046 4 3 1 0 5 2 5 3 5 2 5 1 0 4 0 1 5 3 0 4
047 0 1 2 3 4 5 5 2 2 2 2 5 4 0 1 3 5 2 1 0
048 0 1 3 2 4 5 1 5 4 0 0 2 2 1 2 4 3 4 4 1
049 2 5 4 3 0 1 0 3 2 5 5 1 2 4 1 1 2 1 1 3
050 1 3 0 5 4 2 5 4 0 3 2 1 5 1 5 0 1 0 2 1
051 0 2 3 1 5 4 1 1 5 4 5 5 3 3 3 5 3 4 2 5
052 2 0 5 1 4 3 2 5 5 3 0 4 5 0 4 0 1 0 1 3
053 3 5 2 4 1 0 4 5 5 5 0 5 5 5 3 3 2 3 5 4
054 0 4 5 3 2 1 2 0 5 1 1 4 2 0 4 0 0 0 0 2
055 2 5 0 4 3 1 1 1 5 0 0 3 0 0 0 5 0 1 4 0
056 3 0 5 4 2 1 0 0 3 5 1 3 4 1 5 3 4 5 5 2
057 2 5 3 0 1 4 1 1 3 2 2 5 5 3 3 5 4 1 1 5
058 5 3 4 1 2 0 3 2 5 3 4 2 5 0 2 2 5 2 4 4
059 5 3 4 0 1 2 4 3 3 1 5 5 2 2 4 3 4 2 4 0
060 5 2 3 1 0 4 2 0 2 5 5 4 2 1 1 1 4 2 2 2
061 5 1 0 3 4 2 5 3 1 5 3 3 1 5 0 5 0 5 1 5
062 0 1 4 5 3 2 5 0 1 1 0 5 2 5 1 5 5 4 4 3
063 4 3 2 5 0 1 0 0 0 5 2 3 2 5 1 3 1 4 1 2
064 2 4 3 5 1 0 0 0 5 5 3 4 3 5 5 4 5 4 0 4
065 0 2 4 3 5 1 5 3 1 1 4 3 2 4 0 3 5 3 2 1
066 2 4 0 3 5 1 2 1 5 2 0 2 5 0 5 5 4 3 3 1
067 1 3 2 5 0 4 1 2 1 2 1 3 1 0 2 2 4 5 4 3
068 3 0 5 2 1 4 3 0 4 2 3 4 2 5 5 3 0 0 0 2
069 1 3 4 5 2 0 3 1 2 3 1 2 4 3 4 5 2 2 4 3
070 3 4 0 5 2 1 4 1 1 2 1 5 4 1 1 2 5 1 0 0
071 1 4 2 5 0 3 1 5 5 3 1 1 1 3 3 5 3 5 4 0
072 4 0 2 5 3 1 4 0 3 4 4 3 5 2 1 3 5 4 1 2
073 0 4 3 1 2 5 1 2 5 1 5 0 3 1 2 0 2 4 0 3
074 4 2 0 3 5 1 5 3 5 1 3 1 5 3 3 2 5 4 2 4
075 1 0 3 4 5 2 4 4 5 4 0 0 4 2 4 2 2 0 5 5
076 1 3 2 5 0 4 2 2 5 4 4 4 3 2 1 3 3 5 3 5
077 0 5 3 1 2 4 0 3 4 3 4 3 5 0 2 2 2 5 3 5
078 1 0 4 2 5 3 1 3 3 4 5 3 4 0 2 5 5 2 3 1
079 4 2 0 5 1 3 3 3 5 3 3 5 2 2 5 3 1 0 1 3
080 3 1 2 5 0 4 0 5 4 0 2 2 5 1 5 5 4 0 1 0
081 0 2 1 5 4 3 3 3 4 4 3 1 3 0 1 1 0 0 5 3
082 3 1 0 2 5 4 3 0 4 2 1 0 0 5 5 5 2 5 1 3
083 2 1 5 3 4 0 4 5 5 1 3 4 4 1 4 0 0 2 4 3
