v1
000 G->
001 R->
002 X
003 R<-
004 G->
005 X
006 G->
007 X
008 G->
009 R->
010 G<-
011 R<-
012 R->
013 G<-
014 X
015 X
016 G->
017 X
018 R->
019 G->
020 G<-
021 R<-
022 G<-
023 G<-
024 R<-
025 R<-
026 R->
027 R<-
028 R->
029 R<-
030 X
031 X
032 G->
033 G->
034 G<-
035 R->
036 G<-
037 R<-
038 G->
039 G<-
040 R<-
041 X
042 X
043 R->
044 X
045 X
046 G<-
047 R<-
048 G->
049 G->
050 G->
051 R->
052 X
053 G->
054 R->
055 G->
056 R->
057 G<-
058 X
059 R<-
060 G<-
061 G<-
062 X
063 G<-
064 G<-
065 G->
066 R->
067 G->
068 G->
069 G->
070 G<-
071 G->
