v1
000 0 3 5
001 2 4 3
002 5 2 4
003 0 5 3
004 1 2 3
005 1 2 5
006 4 1 5
007 2 1 5
008 1 4 5
009 1 0 5
010 2 4 3
011 2 4 0
012 3 4 2
013 4 0 5
014 2 0 3
015 0 2 1
016 3 2 0
017 1 4 5
018 1 3 4
019 1 0 5
020 3 0 2
021 2 3 0
022 5 1 2
023 0 1 5
024 5 3 1
025 3 0 1
026 3 1 2
027 3 5 2
028 0 3 5
029 5 0 3
030 1 0 2
031 5 1 0
032 0 3 1
033 1 0 2
034 3 0 1
035 2 3 0
036 1 5 2
037 2 0 5
038 0 4 1
039 0 2 1
040 4 3 1
041 1 0 3
042 5 2 3
043 1 5 0
044 2 0 3
045 3 5 4
046 4 3 1
047 0 1 2
048 0 1 3
049 2 5 4
050 1 3 0
051 0 2 3
052 2 0 5
053 3 5 2
054 0 4 5
055 2 5 0
056 3 0 5
057 2 5 3
058 5 3 4
059 5 3 4
060 5 2 3
061 5 1 0
062 0 1 4
063 4 3 2
064 2 4 3
065 0 2 4
066 2 4 0
067 1 3 2
068 3 0 5
069 1 3 4
070 3 4 0
071 1 4 2
072 4 0 2
073 0 4 3
074 4 2 0
075 1 0 3
076 1 3 2
077 0 5 3
078 1 0 4
079 4 2 0
080 3 1 2
081 0 2 1
082 3 1 0
083 2 1 5
084 4 1 3
085 0 3 5
086 3 4 5
087 1 0 5
088 5 4 1
089 2 4 3
090 1 4 0
091 1 2 3
092 3 4 5
093 5 4 2
094 1 4 3
095 2 4 3
096 3 1 4
